	FOV
chr1_100038029_100038283_fw	-1.7299096538444023
chr1_100038747_100038919_rc	0.09043226336351495
chr1_1000421_1000599_fw	0.23117066367669736
chr1_1000645_1000743_rc	-0.0034543853699668947
chr1_100132847_100133031_rc	0.22545541403611924
chr1_100132991_100133316_fw	0.15570843106781362
chr1_100178117_100178318_rc	0.3372576674930259
chr1_100249769_100249930_rc	0.3920642933032178
chr1_100266057_100266192_rc	-0.06748364757203729
chr1_100266145_100266439_fw	-0.005208318291604286
chr1_10032789_10033694_fw	-0.2007962367291074
chr1_100352276_100352858_fw	0.2586663459720767
chr1_100538963_100539127_fw	0.0885019996443841
chr1_100719636_100719891_fw	0.39410710613856603
chr1_100896014_100896263_fw	0.3288338077741345
chr1_101025679_101025852_rc	0.028078447513908533
chr1_101025827_101026010_fw	0.13181358399659326
chr1_101026000_101026208_rc	0.021746019258441995
chr1_101150398_101150646_fw	0.06460405337185204
chr1_101235712_101235992_fw	-0.010697639270857318
chr1_101236895_101237100_fw	0.2282374469583508
chr1_101238774_101240051_fw	-0.03933429677048639
chr1_1013425_1013573_fw	0.1644879729149793
chr1_10168015_10168270_fw	0.1065447985402973
chr1_1020037_1020170_fw	0.21134712061583527
chr1_10210435_10210886_fw	-0.028431752304595825
chr1_10212055_10212317_fw	0.17739661984531996
chr1_103108445_103108660_rc	0.30635998477968185
chr1_103525638_103526270_fw	-0.179652247051028
chr1_103561687_103561947_fw	0.08827275404069634
chr1_103562229_103562361_fw	0.24410536940376637
chr1_10398965_10399128_fw	-0.1304985397685261
chr1_10399344_10399551_fw	0.0010027621712676016
chr1_10430711_10430826_fw	0.3247437414514871
chr1_10472322_10472607_rc	0.16600522694685294
chr1_10474849_10475054_fw	0.07777055620762685
chr1_105891504_105891552_fw	0.03410933779458092
chr1_10693999_10694799_rc	0.11811958762354036
chr1_107056636_107056806_fw	0.1086472373160553
chr1_107057422_107057553_rc	0.18572562048743713
chr1_10795513_10795791_rc	-0.1620309989893869
chr1_107965035_107965300_rc	0.08147896511481567
chr1_10796525_10796910_rc	-1.117823927422669
chr1_108199838_108200008_fw	0.07909550940423571
chr1_108199952_108200426_rc	0.07595762610064594
